protein-IDs,length
4UAS,460
2IZQ,64
3FS1,239
3BKX,550
1G12,167
5IEU,242
3WA1,389
1VHN,318
2B5G,342
4D70,372
3EXM,237
3A5Y,1380
4GB5,159
3PUC,99
4HGZ,1656
4WCX,960
4LUA,167
4OXX,162
2GLZ,306
3OT9,1197
2ODK,356
3PL8,623
4S1A,466
1LLF,1068
3R1K,428
3G8Y,391
1SZ7,200
3TUT,358
3UNO,4536
4MI4,591
3OZ2,397
4H7N,1896
3GRZ,410
3QH6,157
1UPK,353
2OKF,280
2IYV,184
2Q7W,396
3HR0,526
3HUH,608
3SSO,2514
3HVA,354
2WY4,140
3U24,572
5CX8,962
3A4C,106
2RDC,306
3FOK,3070
2RJO,332
3G48,224
4FCA,525
2GAU,232
4O87,640
4ARU,413
3PD7,214
4DCM,375
3HFW,357
4ATG,196
3VLA,413
2DC1,472
3N01,178
2XTP,260
1ID0,152
3W5H,272
2HTI,185
1R2J,366
2IN3,216
1L4X,128
7AHL,2051
1ZSQ,528
2OBN,1396
3LS9,912
3TFG,378
2P64,104
3MB5,255
3UP1,446
1C5E,285
1LC0,294
4DT5,286
3ZFI,208
1NC7,552
2OWP,258
2ZWS,646
1MUS,477
2W15,202
2F9H,258
1VYI,112
3SY1,245
4P1W,1289
2HJ1,194
4W4K,562
3S84,546
1XFS,356
3H2B,406
5C33,396
4KYQ,208
5CET,341
2I8D,246
4.00E+72,226
1FYE,229
3QIT,1144
1ZMT,1016
1ZUU,58
4WWF,236
3FPR,200
3C8W,1020
3I33,404
4H0F,528
3N72,328
4UDE,220
5EFR,446
3K4I,732
3A9L,432
2AEU,374
3ZRI,171
5DI0,670
4PN6,426
3LYD,322
5CTG,672
4RT1,336
3MP7,543
4MB7,273
1TXU,273
5ESX,390
3P1V,814
5DM2,265
1S7I,124
1X8Q,184
4C7N,102
4A7W,480
2QV0,286
3W19,69
4CC0,624
2AXQ,467
1QLW,656
1RLW,126
4PJ3,1475
4MI8,338
1YRB,524
1JL5,454
3QU3,411
1CB8,678
3ZJA,140
2AHU,2124
3SIG,277
1T6U,1404
4XIN,252
3TG7,951
5C8A,824
1N4K,381
2P6W,213
1Z6M,175
4OI3,178
3OUL,232
3H16,616
1K77,260
2NWA,704
3O6U,640
4QFT,186
4ADI,1419
2Q4Z,624
5CR6,471
3AJD,274
2QSB,89
4MKO,944
4PZ3,310
3MR0,284
2F6M,348
2XJ4,286
4P6Q,286
3QWE,279
3GPV,296
3T8J,311
1T8S,2904
1VMO,326
3PU5,333
2YIZ,276
2AV5,600
3ANO,436
4DI9,303
4L0R,222
3DGP,151
5CEM,292
1OYW,523
4MAM,748
1BXY,120
2QYV,974
3WJP,338
4GEY,436
4AQL,476
1QFT,350
2B7L,528
3O27,136
3IVP,504
2OER,428
3DBA,360
1FC3,360
2OOK,254
3Q1N,294
3VUQ,748
2GX5,680
3NUQ,282
4OH3,1198
4FD7,952
3AMR,355
1ODM,331
3NZM,168
2CFM,561
3U2U,526
4ZKJ,582
3G02,816
1PSW,348
2BON,664
3T97,193
3LGD,1016
1VYB,476
2IN5,414
4YNX,132
3I1H,177
4H1B,380
4FKE,909
1M6Y,602
1YX1,792
3BED,284
2HXO,474
4UHV,1302
4Q29,256
3IJW,536
1I07,120
4E9S,489
3F7S,142
1IAP,211
3N4J,165
4OUJ,614
3DOU,191
1U2H,99
1WKQ,328
2IYK,324
2NSC,109
2P9X,396
1OGD,655
2XBG,327
3Q63,906
1YAR,4809
3V75,301
4CHS,438
3VOP,192
3KV1,267
4QTQ,214
4UT1,673
4BMD,204
3KLT,288
2YNQ,644
2F46,312
2I2O,448
4HS2,110
4PNE,604
3F8K,160
4M3O,314
4WML,231
4ZNM,924
3BEM,436
2D42,498
2XSD,164
4N01,674
4R1D,917
1C1K,217
2C0Z,216
3M66,270
3O59,300
3SHP,352
1HLV,131
3WYD,456
2DEJ,350
3C7J,474
2W3Q,243
2P57,144
1U7G,385
5EVH,127
1BGC,174
2G8S,706
3AJ7,589
2D48,129
1JOS,128
2DSK,622
1N3L,372
5BY8,316
3S4E,144
1MN8,400
3SY6,582
3BE6,1188
2APJ,1040
4M82,399
4PX8,118
3UIZ,912
3U9G,229
3KFW,247
4QND,101
3GR3,460
1STM,785
3FX7,188
4I8O,716
1R6W,322
2YMA,322
4QII,4008
1UUN,368
3EPU,288
3TG0,1796
4XOM,828
4MK6,189
4NNO,291
1OGO,574
3PE7,388
2GUK,240
4G0X,147
3K3D,149
3JR1,624
1Y0H,204
4UDS,214
1RSS,151
3VIV,470
12AS,660
1Z1S,163
4B60,676
1MKK,192
4N0P,1208
3OSE,120
1SO7,382
4GF3,184
2ICU,458
2BIB,547
4EU0,298
1K4I,233
2WBN,212
1LSH,1375
2V75,104
4RMX,1878
1WFB,76
1CNT,748
4PDN,190
3GNE,504
2IWR,178
3S2J,400
4GEI,150
4QYT,776
3RFY,369
3PT1,471
3CI3,194
3VQJ,219
4BBY,2632
2GKG,127
4WKZ,434
1TZF,259
3KH8,664
1V72,356
3MJ0,124
4WH9,183
3VX0,478
1ONW,780
1PUC,105
3R3P,210
3EO7,511
4NWY,536
3GVZ,598
3I9W,290
3FTT,199
3BZ5,457
1KWF,363
1MKF,764
4J7N,378
3O2T,386
1PVM,368
1IS3,135
2Q0S,1728
1P91,538
3SGW,184
3D7L,1818
2RAF,627
1BHE,376
4REI,151
3S5M,1193
2B02,119
4FDD,881
3U12,282
4FTD,453
3CJX,1320
4GU5,1078
1HQZ,1269
4N4J,500
1ZYM,516
4KF9,329
2E7Z,727
4EPC,334
4LJ9,339
2HYT,197
4H40,654
4H12,278
1OTK,498
4IFA,339
1PN0,2660
2CXA,256
2JIS,1030
3DH4,2120
3H2Z,382
1KP6,79
3BFN,388
1DP4,870
4RGW,988
2PEZ,358
2QTS,2628
1T6L,290
1RWZ,245
4KGM,980
1O9Y,336
2I76,552
3OHS,334
3GV0,288
3Q9J,80
3K3V,100
1XRK,248
3H1N,504
1ZP2,235
1RR7,129
4ESQ,194
3F2E,100
4A1K,165
4M5E,410
1ET1,68
3FS8,546
1PG4,1304
2MLT,54
4AIK,302
1QZM,94
2WFW,459
3S5T,265
3LHI,232
1J58,385
4OD4,1818
2INU,1230
3B9W,407
2FNU,750
3EPH,818
1M3W,128
4GIO,214
1VPR,374
2WJS,608
4G3A,474
1M1C,1360
3C4R,604
2W18,356
4ABX,700
2PH0,348
3V9W,940
2QL8,286
1VRA,423
4CLC,895
2GIB,206
3Q71,221
1LNS,763
2Y8G,276
3JYB,290
3AP1,692
4GZC,180
2J58,2872
2A6Z,222
3IO5,666
3GQQ,1170
2GXQ,207
2TPS,454
2OBD,476
3ZTA,146
4IWB,330
4Q8G,922
1CKM,660
2W6K,145
4HVW,74
3WX6,338
3UFC,243
3IE7,320
1QHL,227
4CY8,2344
4KTP,1538
3IGR,368
3WAR,340
2QP2,511
4US5,1352
3E2O,294
2B9W,424
3RPZ,279
4EIU,249
4I8H,223
2IH2,842
4IC1,2060
4CF4,472
2IXS,646
2OB3,660
5EPV,932
4RGP,514
2H8N,448
1W3M,132
1PL5,284
1Y8Q,1972
1SKN,92
4ZQA,86
1P2X,159
3ZHO,394
4ZKQ,420
2Z6O,172
4FBC,1128
3IV4,112
3HN7,524
1BX7,55
3TEE,219
2QTD,105
1JO0,196
4BGO,570
4KTW,322
1WNA,131
3JRN,176
3VC1,3744
2RKV,451
4MLD,572
1RU4,400
1WS8,436
3ZVL,416
2Q00,258
4XDU,340
1U60,1240
4EJR,510
2ZHJ,322
2PXX,215
2OGF,488
5.00E+50,240
4YAA,306
3LEW,495
4OQP,264
4WZ2,303
3KZQ,1248
2OY9,196
4DIM,403
3OV8,95
3B85,416
4PM4,602
2DCL,381
2DDX,333
2R8R,456
1Y4M,159
1OI7,288
2WTG,159
2JD4,766
1OJ5,146
1M1Q,91
3E9V,120
5E9P,86
2VDW,2356
2R91,1144
3PHH,269
3DYD,854
4JBU,298
1D3B,996
3VZ6,199
3T2C,407
3LM2,452
3IHM,860
3A9I,376
1SBP,310
4X8Q,210
1DJ8,534
3SC0,241
1O4W,147
2I0Z,447
1RP0,568
3IKB,396
4BJT,666
4PW3,1476
3O2I,375
4R12,593
4PT1,262
2E8G,482
1.00E+30,310
3VXC,872
4O6A,724
3KMA,238
4GXW,760
3WOE,472
2C5U,750
4XJ5,389
3EOF,496
2RCI,204
4K70,1000
3FOT,519
3H1D,405
3VPN,572
3MCW,396
3H7H,226
1MWQ,202
1AE9,358
3OWR,536
2H8G,534
3AJR,634
3H4R,265
3OIS,1164
5FYD,526
2Z81,549
5CGZ,480
2PV2,436
2VHA,574
4Q82,554
2BDR,350
3I09,750
1HX3,380
3FXD,260
3NS4,271
3EHC,512
4WIP,291
4G55,369
2O14,375
3PMI,536
3O4P,314
2BO4,2382
3ONJ,97
2YVE,370
3KQN,437
3VQT,2192
1T6S,324
2QIK,285
3MKO,137
4WY4,265
3FSO,246
3GIU,430
3REN,700
3EWY,260
4XGU,2544
1JHS,188
4C08,382
4U1F,994
4E6S,93
5BU1,297
3WH1,206
3RZA,792
4WG0,195
1WJX,122
4DQ9,340
5A71,634
2FL4,149
1UGI,672
4RKH,208
3KZ9,824
3Q6A,1080
3DF6,396
1WY5,634
4PDX,1280
3KZH,656
2FB5,615
1QAZ,351
4UOI,528
4OO3,442
3NQB,1216
1YLO,2088
4IM9,456
2GSV,160
1ATZ,378
2YIL,828
4PFE,690
3BJQ,3160
4LH9,40
5-Feb,125
3RJV,212
3L6D,612
2FWH,134
2DWK,180
2G40,224
4XZZ,678
4QQD,322
1H2B,718
4BOQ,183
3F0D,1098
3QEC,150
1O7F,469
2WZR,744
3D2M,456
4JX0,640
4HE7,54
2VCL,233
5DCL,486
4FVG,133
1F5V,480
3BHP,180
3OOP,143
4JZU,316
1O9G,250
4EQQ,214
3MIZ,602
1JDC,429
3RQA,764
1O7I,238
3E1R,129
3C1Q,246
1W2F,552
1JG5,415
4IZE,152
3CNI,156
4PXJ,183
3IWG,552
4P55,216
4Q4W,885
3QFL,115
4GXB,321
2UY1,986
3GWC,2064
2GUF,594
5DYR,151
4G3V,344
3RJ2,138
4V17,318
3WT0,1608
4OVM,1440
1Z72,450
4OD6,90
5ENU,322
5AZB,300
5FSH,934
4E3E,704
2CWY,94
4LZK,1122
5DSE,2298
3CU3,172
3B09,88
2GBO,208
1D2T,231
1VPM,507
3JUW,525
1C02,332
1NNF,309
1VLS,146
3CGU,446
2XMO,886
3GWL,212
3FJY,728
3R0N,128
3KP7,302
3DTE,301
2Y78,133
2VUN,1544
2DTC,252
2HR7,972
5C22,1116
2ZQO,260
2Y71,146
3A8G,419
2DTJ,356
1MVL,209
4IZU,283
4ZLF,796
1EI5,520
3UID,336
4PY6,580
2O7A,124
3V3L,170
5CZG,116
3VRD,575
4ECO,1272
2Z51,154
3AZD,74
3Q5W,490
3UX2,130
2CY7,396
2QWZ,636
2Z7B,270
3QPI,378
1NG6,148
2HQY,610
4KQ7,748
3FK2,984
2RCZ,162
3NJE,422
3BMZ,398
3RHT,1036
1S2O,244
4CRH,126
3HKV,434
4AW7,591
3BGY,474
3NNF,344
2OD6,440
3L4N,127
4DZZ,412
3U0H,562
4AYA,194
4USO,612
3ML1,937
5J1Z,143
4I3G,1658
4KQP,232
2VBU,136
2IU5,390
3GAE,506
3RVA,451
3RZN,209
2X27,212
3IHV,1070
4OOB,260
4K3Z,662
3.00E+05,1632
3KXY,1992
3C9I,1452
4Y60,80
2HJE,221
1UCR,156
4RKQ,1176
2UW1,676
1V9M,323
3ZWF,736
2F6R,281
1TUH,156
4L68,680
2YFU,155
2A9I,113
5A0N,220
2V8F,301
2IJR,300
3LLK,783
1LS1,295
2YJP,873
4HHX,120
2J6L,4000
2QMQ,286
3IUU,495
4W6H,472
1JAD,502
2RFF,111
2G3A,152
5CWT,216
4R8H,444
3WVQ,1788
4TV7,1916
2.00E+52,1200
3DB2,1062
4Z24,1304
1AZO,232
2I51,390
3KP8,106
1H2I,4598
4PD6,424
3WGX,266
3JTX,792
2JG0,535
3ONQ,1048
1Q6Z,528
4RW0,370
3MTW,403
4QOS,265
1FLO,1688
4HKU,356
3HNR,220
2EKL,313
4M7X,273
4R0G,1148
3QI7,742
1NNX,109
2O8Q,268
1G8Q,180
3HN5,430
1G8P,350
4UQW,326
4MIX,672
4COG,860
4UAL,419
2QLC,1008
3GWQ,852
3NTK,338
4PXW,762
2OPC,127
3NI0,198
4AQO,92
3QTH,352
3RNS,227
2OYY,608
4NDS,188
4YLR,487
3FZQ,548
3O8M,485
2ANR,178
5FDQ,1182
5AYV,618
4F55,128
2VLA,285
3ENU,114
1PIX,1174
3VCA,412
2IGT,996
1S29,92
1DZF,215
2Q4A,660
4E9L,420
4WFW,90
3SJ5,376
4JJJ,642
1WEH,342
2GHV,406
2AZ4,858
3FNI,159
2R9Q,1496
4CS6,264
4QMA,208
1HQ0,295
4YZ0,408
4KH9,748
3KKC,708
4G4K,206
2CAY,290
3ZZO,95
2O2K,710
1ZLD,118
5ERM,726
3KOR,476
4QB0,103
1LU4,136
1VH4,870
3DCF,436
1T1U,639
4WDC,179
1YVW,460
4U9U,562
4UZR,858
3IFU,180
5CVD,504
3E1E,1128
4MFK,345
3THG,107
3LW3,290
3CQJ,590
4P04,1142
2WAO,341
3K50,403
3FO8,283
4DWR,1461
4E8Y,704
3SGG,536
1TV8,680
2F2H,4638
2D0S,79
3QXC,242
2QV5,522
3D0F,212
1U0M,764
4XBA,400
1QQ5,506
3GHF,120
3ID1,95
4LCZ,672
2V3K,258
2XUV,316
1II5,233
3VW4,256
2A1X,308
3HJE,704
3JU8,980
2AL6,750
2RFR,155
1WLG,598
4H7W,193
2IXA,444
1K8W,327
2IID,1992
3BC8,450
3R7A,474
1WKC,184
4UQD,409
4PWW,89
4FX5,464
4RL3,544
2NWL,1266
2Z26,694
4JQP,684
3VII,487
4UML,229
4GOS,125
3VJJ,736
3ZUI,150
3PSM,94
5BOI,246
3I9F,340
3FT7,110
4O6U,184
4Z0C,1418
3W61,108
3LHO,267
2AJA,752
4O8S,232
1L3K,196
2HBV,668
4X8K,218
4P7C,644
4LTY,1416
5CYV,292
4ID9,694
3RXY,1668
3DAD,678
1ELK,314
4FZL,494
1Y60,845
3K63,126
2QW5,670
1VR4,515
1M1F,220
2IBD,408
3LL5,996
3VP9,184
2BKW,385
1QSM,608
4R0S,436
5C8H,121
1Q15,2012
3JX9,340
1K3S,226
1ALY,146
1VKK,154
4JPN,790
4E0A,328
3ABD,558
2DBS,180
4IX1,2064
1JX7,702
1JZT,492
4Q7Q,532
4O9L,97
2EW0,192
4INO,668
1KO7,628
2UUZ,198
1H6F,386
3POH,451
4C5K,1104
2ODF,2056
4XEZ,200
1LF6,1368
4ZF7,276
3HSL,309
5DA1,458
1KW2,916
2V8T,604
3X37,256
4GVF,698
4LGY,1305
3G46,292
4YP6,543
4PZ1,98
4AO6,259
3LOF,678
3BXW,786
1QW9,1004
1BJA,190
3NO0,828
3DKZ,284
4INW,140
4WD8,1485
3QNM,240
4GVQ,948
3B8X,780
4CVD,48
3FRL,504
2Q83,692
4PS2,79
2OZH,142
3ZN4,173
2VH3,226
4QB7,359
3IXS,888
3SJR,700
3G21,77
3DLQ,362
2XE4,755
2CFX,1152
4GYW,1474
4TR6,760
2HS1,198
3OHE,274
1HH8,213
3BOS,484
4PQD,105
1I8N,378
2XBL,792
3MGD,314
3SS7,442
4QY7,93
1VL7,314
3DZM,642
2Q88,257
2CNQ,306
3G9R,252
1ATG,231
2QGQ,2432
4ZAV,209
3KKL,488
3HJ4,768
4EXJ,476
3ABQ,1518
4L1N,206
4I0U,3510
3GFF,662
4GT8,139
2QDR,606
3FID,592
1AH7,245
4RAS,2112
4EGD,520
4ZFL,2808
3TEG,415
4C0O,2096
2II2,310
3V69,280
4XB9,316
2O1Q,290
1EZG,168
4PR3,466
1I2T,61
3C85,732
4J5R,292
4MO0,102
4L5G,330
4OKE,336
3KEA,570
2GAN,380
1JMV,564
3QTA,466
4X3I,86
4NOB,126
3K7B,192
4OE9,242
1VAJ,214
5CCL,432
4LMO,1016
4LER,469
2W1J,424
4K82,217
1W99,558
1C4O,664
1YOC,294
1RYI,1528
3MIL,480
3NA2,688
4AXD,456
1GPJ,404
4ITJ,588
3HI0,1016
3B33,115
2W6A,126
3EKI,403
4C5W,387
4EI0,624
3L2B,490
4O00,208
1IJY,260
1ZEE,806
2GUZ,1088
2A5H,1664
3LID,590
3B5Q,964
2IAZ,452
3VUB,101
3DDT,144
4Q53,220
4HB9,412
3F1Z,1330
4PHJ,346
4CT3,660
3P3Y,404
2YH5,127
4IL3,922
2FA1,320
4NQW,284
2QEC,204
4YHC,936
1T0F,660
2QIP,165
4O7K,190
4J39,127
1XMX,385
3KD4,1012
3G16,312
3ICU,194
2OD5,116
3VDJ,77
3EBE,600
3SQZ,425
4UF7,1214
2RKQ,169
2BHU,602
4X2C,470
3D8P,326
2DYI,162
2IMF,203
1XRX,200
2EGV,458
3CNU,116
4K7B,124
4ACO,956
2DGK,2712
4BD8,696
4EV1,252
4FIX,1314
4BX8,1214
4HDE,170
4O4F,248
1XG5,1116
4WJM,312
2OAF,302
5DAW,308
1VCT,205
2J73,206
2BM8,2832
1R9W,145
2NP5,812
4N13,265
3KDQ,616
3VKW,446
4K51,448
4Q6U,706
3BGE,402
4ZL4,888
4WLH,844
1VK1,242
4PEI,1780
5IOD,143
3KE3,379
3LRV,343
2HIM,1432
1LFP,249
5DC8,790
3C8J,812
4CBE,218
2R51,340
3PIV,328
3ZF4,204
5DZO,107
2QU8,228
2PLG,326
2ISK,1840
2OLM,140
4PHQ,1192
4A9A,1036
3TFJ,738
4UE8,222
2P11,462
1ORN,226
2BH1,692
1UB9,100
2UYT,489
4QGS,398
3CT6,262
3FLH,372
1VYK,149
2FX5,258
3GMI,357
4HO4,594
3EBW,326
1U7P,656
3OA5,1148
3LWA,183
1K3I,656
2VPT,215
2YHC,225
3PFY,185
4HL2,486
3M7O,648
3RLO,204
3PWX,478
4BGB,650
4JCC,286
3HZQ,114
1MSC,129
4AC1,283
2HLY,207
5F5F,760
1GO3,588
2EHP,252
3FTD,249
3SD2,101
3HDU,471
1QME,702
1IZC,339
3V6G,416
4FDB,101
3.00E+56,113
3M4W,1564
2P62,482
3QIR,592
3TL4,187
3NQN,316
4XQ7,359
3CS1,219
1ZY7,806
1IX9,410
4S1H,574
2EX5,414
2OLN,397
4EH1,486
3HUT,358
2X4J,137
3TG9,712
1OZ2,331
3E3M,1420
3UUW,1232
4H7L,314
2EFJ,384
1V96,298
2Q1F,2044
4UF0,956
3AQT,490
1VQS,580
2GYS,838
2W7Z,428
3NJC,316
5FIW,1142
1MSP,252
4U72,812
2FGQ,332
4XXF,258
1GVP,87
1WWM,380
2CJT,524
3R41,612
3I7M,140
1Q7F,572
1HW1,478
1N13,990
4P37,1068
4H5B,306
3QKX,376
3S5R,432
4MZJ,164
3QU5,486
3D1L,532
4YMK,678
2OML,189
2C35,1296
4WBY,410
1AT0,145
3C26,266
3WTD,336
1KXO,184
3I6E,3080
4HJH,962
3EWG,91
4A7U,306
1ZUO,372
2MHR,118
3D3R,206
1F15,654
1QWR,638
1M4L,307
2I2X,5752
2W2U,194
2NYK,285
4BZA,261
3K1Z,263
1LMI,131
2IYF,830
3IIS,151
2G3W,364
1JY2,314
3AK5,3900
3FKR,618
3M1T,275
2XFN,1040
1QG8,255
2ZOU,298
3EFY,390
4N7F,76
3AKB,166
3G3L,327
1O13,136
2ABS,383
2GJ2,340
3F6G,254
3IDU,254
1FFY,917
4RO3,240
1UKF,188
4KPP,810
4A25,676
2JES,6929
3KGK,220
4FH0,204
3PSH,326
4ZVA,330
1JET,520
1XCR,632
1OPC,110
3P0F,297
3TZY,1006
1I1C,478
3HDJ,626
4KN8,534
4CIJ,1084
3MT1,730
2OBB,142
3LNL,740
5D6H,395
5F9G,259
1P9Y,242
4YBG,255
4J2G,546
2QZI,412
4LG8,354
4U89,259
2P38,332
4IVN,556
4EBJ,544
3X27,1340
4CA1,390
2Q12,265
5C6D,710
1HO8,480
3F40,114
2XU8,348
3L32,90
2PX0,2368
3HUF,988
4LWU,85
4RYK,306
1QYI,384
2ZFU,430
2SAK,121
4L0K,908
3BIY,380
1IGQ,248
1ZMI,116
4YPC,83
3LB2,274
1RTW,880
3HKA,1281
5FM7,954
3ITE,1124
1FPO,513
5EZ7,392
1Z2Z,892
4YD8,822
1YNF,2748
4QPW,142
2NS6,185
5D66,396
3ZIE,516
4ZDF,576
1FPZ,1272
4V24,742
2VJW,149
3GZI,218
2IUW,238
2RAS,424
3ZRG,134
3IG2,852
4JHM,3072
4OM8,618
5D6E,371
4HUD,1632
2EHW,480
2DKA,1088
2OEB,155
4I17,228
1XUB,298
1S12,376
2OFK,366
3OKQ,141
2QVP,825
4MP8,339
1OEY,760
4CVU,942
3FVY,728
2E5F,650
3B0T,254
2GEN,197
2CC6,68
1ZL0,622
2NTX,730
1FNN,778
1KU3,73
3MQ1,618
3KS6,1000
4XFK,399
3VTX,368
5AHK,1176
3PVE,378
3AIA,422
2RDE,502
4JJ0,486
3DSO,74
3W6S,729
3D3K,1036
4S3R,696
4HHV,210
1DJN,1458
4UUY,698
2X3L,892
1UUY,167
3NAU,132
4LLE,520
4EYA,1184
2C2U,207
2VM9,257
2F5T,233
4CW4,639
4W7G,552
3ZIH,190
4HEI,190
3HTK,400
3B7C,122
4LTT,93
3ZKV,971
3BDI,207
3F5B,182
2JH3,1896
2A2F,325
4LID,212
4EAD,440
4B89,249
4U5A,804
4HFS,424
4LHS,343
3PFG,263
3DMG,381
3C5V,316
3LW7,358
4CEK,307
2FJ8,125
2YGK,678
3IPF,142
4A4J,69
2Z1D,744
3BKH,268
1Z2W,384
3IS6,488
3FS3,359
4ACV,258
4V1G,258
1RIF,564
4ZDT,288
1LO7,141
3SNK,135
3IX3,346
1H3Q,140
4RFA,226
4A3Z,161
3OMB,535
2I8T,334
2O6L,340
3KG9,592
4G26,501
4ESN,208
1ZN6,227
4MB0,1044
3S98,306
4J42,186
4PIV,1320
4E1P,122
5EH4,120
1ZS3,2184
1KNY,506
4WP9,354
2ZFD,349
1P3C,215
3C5P,1182
1P4X,250
2W42,854
4BXI,153
3S1S,878
2OMZ,571
4CI9,455
4MYD,756
1YIX,530
4UY3,198
4O9I,202
4N6K,351
1Y08,323
3L49,1164
1GWM,153
2O0A,298
1QOW,120
1TO3,304
4OX0,416
4YG0,164
1S0P,352
2YB1,292
3S4Y,494
1RYQ,69
2W2G,528
4AXO,302
3PIJ,1052
4NCX,1012
2XRY,482
1LU0,58
4Y7U,231
2VW8,303
1JB7,755
1QD6,506
2HB0,738
1PYI,192
3AX2,356
3MTR,430
4XGL,379
4NLM,363
2VS0,194
1U84,90
4WP6,183
2XVE,1392
4FZV,598
1GYX,152
1IXM,384
4ZDS,268
2ZFG,340
3K01,412
4TME,675
3IM3,50
3TAI,942
3EDY,544
8ABP,306
2YV4,105
3PYW,203
4X01,456
3HS3,554
2QH9,368
3OIZ,99
4QKD,600
3OKP,394
3G2B,95
1VH6,290
4WA0,358
1G60,520
3WZI,220
4WSF,141
3C0F,91
2VA0,786
1IIB,212
3KKI,818
2P5Z,491
4CBH,2064
5BQ5,567
3QQM,1768
3OG2,1003
1VJG,218
3PMC,278
4TQ2,189
4A6H,480
4Q0Y,402
5HD9,194
2P14,192
2R41,440
3OUE,158
3GWR,288
1T08,580
5CFA,692
1RUT,188
3NMW,708
5CTM,466
3QZM,254
3RX9,155
4I1L,93
3IRB,290
1PZW,80
4I6V,1302
4HJZ,412
3Q4O,196
4HIK,143
3NCT,576
3MXZ,116
4WBQ,480
4B4A,249
4ZBW,380
3EVF,277
1WHZ,70
1FCY,236
1T9I,326
4ZGF,141
4EUY,105
2DHO,235
1MTY,2116
1ETE,536
3OHG,285
2W5Q,424
3IF4,476
1LKT,624
4Q3K,520
2ASK,226
3DZ1,313
1ISU,124
1YT5,1032
4TKO,358
1VJX,157
3CH4,202
3SMP,772
3DT5,135
2RDG,196
4HL4,292
3OU2,218
3L0A,266
3SQN,970
4BOE,160
2CKK,127
3SO6,151
3L5A,419
1VZ0,1840
4X1Z,664
1N7H,762
2X8K,756
2OV0,105
3QSL,692
2IUY,684
3HM4,312
4U9O,360
5CUK,120
4ANN,215
3F4A,338
3MTK,356
3BEX,1494
2I53,258
1CR1,296
2DC4,330
4QBO,92
2V03,303
1TC5,776
1AHS,378
5F2K,736
3SBM,281
1G5H,1816
3.00E+38,686
2RAU,354
1Y7R,266
1OD3,168
4O7H,444
1F60,552
1YPX,375
4MYV,588
1F1E,154
1RFE,162
4HRO,180
3WIW,402
2A67,668
3FKQ,373
1VK3,615
4OY6,186
2BT9,270
4HLY,264
5CRB,386
2ZD7,541
4OHN,257
4GFK,392
3HO6,534
3ZDO,672
3OOS,278
1HN0,1021
2AJR,662
3RVC,152
1SCF,1092
4I0O,497
1U7I,272
1T43,277
5FKT,1466
2FYF,796
2AML,746
4PN0,1216
4M0Q,460
4RFQ,292
1SEI,260
2HDW,734
2G43,258
3GAX,240
3GMG,340
3LOU,1168
3PPB,390
2AUA,448
3G13,338
3C2B,442
4YJ0,210
2Q33,91
4I0X,1182
4HV4,988
3HN0,566
4LWR,196
3HSA,630
1TBF,347
3G3S,498
4L9H,160
2X3M,239
3KB2,346
1JZ8,4092
1MRZ,586
2D28,149
5C17,209
3GKR,341
3LFR,272
1T3G,318
3BPT,363
4TPN,406
3HMZ,199
4EIJ,130
1Y71,260
3QVA,464
4B7Y,320
2GGC,263
4MKX,355
4MUV,284
4YUC,335
5EQZ,146
2Q22,417
4FCH,442
4C1A,144
4MTU,144
4F2L,61
4O2H,300
2QBY,770
3PPL,854
4I66,209
1T4W,196
1ZHV,134
3ZY2,362
5CWI,250
4OKZ,1460
4YO5,1572
3PQI,247
1Y1P,684
3KHN,348
3LQ9,268
3CUO,396
3W6V,147
4H59,308
4RY9,604
3H1T,590
5A9D,378
1DWK,1560
3MAL,398
3QJ4,684
2W7Y,860
3AEI,198
4R4M,147
3GET,730
2AKF,96
2FCK,181
3DJM,580
4ZSX,592
3LP5,250
4BKW,531
1LJ2,276
2I9C,123
4YZ6,217
2XHG,466
3U0C,402
2REM,587
4NB5,684
3C8I,282
3PGU,427
1YZV,204
1WFX,186
2Z5W,136
3M1U,868
3.00E+57,422
1JOV,270
4RTH,372
1TBX,198
4JB7,256
3N0X,374
1YK3,1680
4V3I,262
4WPM,242
3RNV,158
3VY8,355
1Z85,468
1UFO,1428
2X7Q,321
4LDN,261
4H87,260
2PET,231
3TBN,87
3P2T,196
2PJW,179
1VYR,364
4R6Y,318
4HOR,482
2P75,354
2OOI,324
2NML,104
4N7C,176
2HFS,664
3IDW,72
1DFU,94
5HKH,181
4EXK,487
4FD4,434
4FGM,597
2REU,258
4XJX,2076
3FLO,2676
3HT1,145
3E0X,490
4P4X,192
5AE0,221
4PZ7,806
3PVI,314
2PP6,102
1EKJ,1768
5CQC,420
2OND,616
4RCT,730
4UDX,636
4D9S,812
2D1S,548
3SQL,1070
1HKQ,264
3FQM,354
4MC3,346
4RUQ,476
2GMQ,236
1CHM,802
4GQ1,393
4W64,513
1Q7E,428
4UXU,436
4EO2,3498
2QJF,810
3IT3,684
3MEA,191
1OW4,258
3M1C,966
1T0T,1240
1GMI,136
1VHZ,396
4YH8,287
3P3C,274
4UYB,401
1RYL,334
4N0N,423
4LES,206
2IC2,230
4JA8,832
1HP1,516
4BT9,487
3IN6,296
1T3Y,141
4F3N,432
4I4T,2317
2JJQ,425
4QHW,401
4YE7,220
2R1J,136
2PKD,666
3L20,344
4PK9,373
3FHV,322
2ZAH,993
